code,mark,id
european cinema,24,1115
greatbooks,40,2036
european cinema,66,2033
ceramics,95,313
softdev,71,1514
orgo,5,538
ai,88,1025
greatbooks,21,2968
systems,42,724
ceramics,100,2621
softdev,40,3018
greatbooks,29,514
ai,53,2227
ceramics,16,87
ethics,40,2187
ceramics,45,1167
ethics,13,1040
ceramics,29,475
systems,83,664
bio,5,1574
ai,55,3184
european cinema,53,2424
ai,63,2585
softdev,68,3073
geometry,62,2368
geometry,78,406
systems,21,1070
orgo,66,1726
european cinema,5,2199
geometry,32,1380
softdev,12,3116
ai,25,2595
ai,51,1680
bio,34,2945
ethics,53,2658
orgo,64,1730
systems,78,1000
geometry,65,2695
ceramics,42,2114
softdev,18,2542
ceramics,37,142
systems,95,2444
ceramics,55,3274
european cinema,80,1402
european cinema,68,1807
bio,37,664
european cinema,44,285
ceramics,62,2871
ai,15,2496
systems,96,605
softdev,78,1922
ai,64,18
ceramics,40,1641
ethics,94,1422
softdev,26,2541
european cinema,16,2706
bio,81,464
european cinema,69,2231
orgo,29,1792
ceramics,16,3192
ceramics,92,2323
bio,70,271
bio,98,1710
geometry,71,1753
orgo,95,130
ai,74,2464
ceramics,52,2174
bio,62,2863
ceramics,51,2070
geometry,21,1384
european cinema,93,3236
softdev,69,1710
ceramics,38,3181
greatbooks,85,3210
greatbooks,4,1768
ai,96,1977
greatbooks,90,1904
geometry,70,1467
ai,54,1016
european cinema,73,1797
greatbooks,63,191
european cinema,18,2487
orgo,66,189
softdev,67,2659
softdev,19,2316
systems,3,1107
orgo,28,1740
ceramics,11,774
bio,47,1631
greatbooks,75,1070
ceramics,90,1674
softdev,76,1007
ai,69,1510
european cinema,89,315
geometry,52,1112
ai,83,2924
bio,10,2606
ceramics,1,2334
greatbooks,70,715
bio,98,3293
ai,90,2243
ethics,73,209
softdev,11,700
bio,92,543
ai,1,643
systems,93,1273
ceramics,22,2331
bio,18,2280
bio,18,1237
ethics,21,2069
orgo,14,2308
ceramics,9,793
systems,5,1982
ai,50,2825
ethics,56,457
ethics,78,248
orgo,38,2041
orgo,91,2925
orgo,16,3160
greatbooks,48,3259
softdev,100,1190
bio,59,994
softdev,60,64
greatbooks,13,3117
bio,19,2224
softdev,44,3290
bio,68,2325
bio,67,124
european cinema,83,1582
greatbooks,88,2567
softdev,27,2617
european cinema,67,3085
ethics,13,2136
systems,16,1653
greatbooks,41,178
ceramics,69,204
ceramics,47,1576
bio,27,792
bio,45,427
softdev,87,2145
greatbooks,34,2096
bio,99,1786
ceramics,52,641
greatbooks,27,485
ceramics,29,796
ai,79,2971
geometry,40,1151
geometry,49,2213
ethics,23,2456
orgo,26,570
european cinema,57,1481
ethics,2,458
bio,52,2919
softdev,17,2471
softdev,78,190
bio,24,1205
softdev,29,3218
bio,29,2331
systems,85,2880
geometry,41,729
geometry,22,1063
greatbooks,29,59
ceramics,37,639
ceramics,89,175
systems,100,3167
ethics,30,302
geometry,72,1416
greatbooks,38,2653
orgo,96,19
greatbooks,94,419
greatbooks,80,3240
ceramics,68,115
greatbooks,51,1306
ai,98,1544
ai,8,1794
ceramics,7,1680
systems,59,2674
greatbooks,60,81
bio,65,2486
softdev,25,2658
orgo,55,2194
ethics,53,13
ai,48,3197
ethics,13,1614
geometry,100,3285
greatbooks,41,772
ceramics,0,1792
european cinema,6,2164
orgo,46,2669
geometry,73,271
softdev,21,415
systems,97,1043
geometry,76,2628
greatbooks,91,1142
ethics,92,605
orgo,10,737
ai,96,3212
european cinema,1,1374
greatbooks,63,2947
ceramics,40,327
european cinema,15,3049
systems,47,261
orgo,91,1565
orgo,27,1705
ethics,96,1821
greatbooks,98,130
ai,67,3101
geometry,57,2809
ai,43,290
bio,46,2757
ethics,86,1052
orgo,60,3062
greatbooks,84,744
ethics,55,2953
greatbooks,25,553
softdev,55,2955
ai,27,1352
bio,51,594
ceramics,46,1245
ceramics,0,520
bio,94,3117
bio,7,2310
ceramics,77,1546
ethics,46,1420
bio,18,346
bio,85,1128
european cinema,77,2659
ceramics,28,3222
ethics,0,752
ethics,69,1056
ethics,90,604
ceramics,64,1571
ceramics,26,1664
ceramics,49,3254
orgo,15,1287
european cinema,76,1804
geometry,100,656
ceramics,10,1507
ethics,82,667
greatbooks,7,1943
ethics,97,2682
greatbooks,59,2518
softdev,23,2448
orgo,48,268
ai,62,2287
ai,16,2107
geometry,6,1872
geometry,68,2688
ethics,64,2869
softdev,13,147
ethics,73,2160
softdev,90,1094
ethics,34,472
orgo,25,1236
bio,7,168
ai,3,3017
european cinema,26,2169
systems,50,1014
orgo,23,2939
bio,9,897
ethics,28,27
geometry,26,1419
systems,93,2640
orgo,81,1284
softdev,2,2784
bio,95,1125
ethics,60,3272
geometry,27,2526
ai,26,2683
european cinema,10,3048
ai,25,2088
bio,43,1136
orgo,14,1366
ai,7,1165
geometry,20,2558
ceramics,47,1504
greatbooks,13,2699
systems,94,960
softdev,5,1585
european cinema,99,800
ethics,14,2143
softdev,37,192
systems,36,2375
ethics,9,2445
systems,49,1164
bio,51,1922
ceramics,2,1463
softdev,89,2087
ceramics,70,3046
bio,44,2431
bio,78,1163
orgo,51,900
orgo,92,1798
ethics,84,1573
bio,18,862
ai,32,1173
systems,3,474
systems,6,1804
systems,74,2376
ceramics,90,2175
bio,78,2223
ceramics,25,590
greatbooks,31,1293
orgo,66,2570
ai,80,927
systems,38,2654
ceramics,74,741
bio,8,573
european cinema,47,2578
greatbooks,66,664
bio,76,3085
softdev,75,2295
softdev,100,2272
bio,79,1279
geometry,5,517
ethics,20,1977
ai,31,3103
geometry,28,2139
systems,3,2948
ai,17,1823
systems,88,445
orgo,57,1713
geometry,16,583
ceramics,78,3210
bio,35,1182
systems,3,2956
ceramics,26,924
systems,65,1942
bio,36,1754
systems,32,2000
orgo,30,2475
ceramics,79,298
ai,3,253
geometry,6,1971
softdev,76,1713
geometry,48,2052
softdev,50,1751
european cinema,54,375
geometry,23,1359
ethics,18,1148
softdev,26,176
orgo,42,2750
ai,97,442
ethics,25,2460
ai,34,1708
systems,21,779
systems,70,861
european cinema,2,1643
greatbooks,45,2718
ai,27,2841
geometry,76,1251
ai,77,2542
ai,37,800
european cinema,19,1214
orgo,93,784
bio,56,630
softdev,70,3210
greatbooks,60,1404
ethics,16,538
european cinema,24,3149
ai,10,674
greatbooks,63,1028
softdev,93,2404
softdev,55,2812
systems,63,3294
systems,67,3250
softdev,5,1623
ai,3,2381
geometry,83,856
greatbooks,25,1029
geometry,75,1524
ceramics,42,2268
orgo,39,2941
ethics,78,1029
greatbooks,88,3237
softdev,65,2198
european cinema,75,3169
ai,1,1855
ai,36,2012
greatbooks,33,2687
bio,53,749
geometry,84,327
bio,100,1550
european cinema,47,2523
ai,2,2427
orgo,72,1516
systems,28,1327
softdev,48,1507
orgo,33,1699
european cinema,28,1369
european cinema,6,564
european cinema,5,3221
european cinema,36,1411
european cinema,44,1767
european cinema,1,791
ethics,67,1313
orgo,79,3164
geometry,7,1821
ai,68,451
orgo,73,1961
geometry,56,3243
systems,71,1608
systems,63,1358
ai,42,1790
softdev,41,3118
ethics,15,2530
ceramics,72,53
european cinema,27,2655
orgo,42,524
greatbooks,28,2864
greatbooks,90,3190
geometry,74,1146
ethics,11,2619
orgo,97,1953
softdev,70,3030
greatbooks,66,299
ceramics,46,2111
european cinema,76,2197
european cinema,1,2728
orgo,94,1190
orgo,93,3021
orgo,37,2036
greatbooks,9,741
european cinema,40,1176
systems,7,2759
european cinema,4,3143
geometry,40,570
greatbooks,8,1066
orgo,17,659
orgo,19,2442
european cinema,27,1967
systems,70,810
ceramics,70,2415
orgo,87,847
softdev,62,907
european cinema,57,3178
orgo,83,2880
systems,4,1060
systems,4,1963
softdev,8,272
bio,90,2960
ai,47,597
bio,67,3202
ethics,46,1083
ethics,47,237
european cinema,35,2360
greatbooks,88,735
bio,59,2218
softdev,95,3017
systems,12,1304
ceramics,57,1029
greatbooks,42,574
geometry,69,2209
orgo,32,1374
softdev,93,2920
ceramics,44,3
european cinema,26,1931
orgo,85,1817
greatbooks,28,2648
ethics,90,2225
ethics,91,808
softdev,34,1621
european cinema,30,2271
geometry,15,795
ai,40,2810
softdev,17,2588
european cinema,5,1596
systems,78,3141
geometry,28,1176
european cinema,29,2265
softdev,2,1691
greatbooks,42,572
softdev,72,2917
systems,50,408
systems,73,2281
orgo,5,2995
greatbooks,73,2320
european cinema,11,2131
ai,99,2281
geometry,20,2096
softdev,44,387
orgo,29,366
bio,20,699
softdev,94,1230
greatbooks,75,1019
bio,31,1608
softdev,24,3115
ai,28,749
ethics,57,1741
ai,39,1753
softdev,10,2223
softdev,7,2824
bio,87,776
ethics,19,600
ethics,53,2827
softdev,72,2427
greatbooks,96,321
bio,79,2599
ai,31,2878
ai,23,473
softdev,90,491
orgo,23,932
ceramics,34,2130
geometry,15,1158
softdev,78,690
orgo,83,2710
geometry,30,174
ceramics,50,1483
systems,8,1428
softdev,26,815
ethics,86,907
softdev,54,3300
ethics,81,1597
orgo,20,1410
geometry,12,1495
bio,4,116
ethics,15,732
ceramics,66,3067
greatbooks,48,134
orgo,10,2480
bio,36,2010
bio,6,2116
bio,9,2271
ethics,82,800
systems,26,2888
bio,12,2077
ethics,90,2024
bio,3,1378
softdev,86,1823
orgo,100,375
systems,9,592
ethics,58,1147
ceramics,8,910
softdev,58,1698
greatbooks,8,1500
greatbooks,86,1096
ethics,66,776
bio,55,2577
ethics,67,2990
ethics,40,301
ethics,37,2252
european cinema,30,569
geometry,11,3252
bio,3,2141
ceramics,21,1898
european cinema,86,103
european cinema,18,1878
bio,83,1920
greatbooks,6,1408
systems,53,2383
geometry,84,519
systems,67,427
systems,80,3195
greatbooks,81,397
european cinema,6,1370
ceramics,29,373
softdev,92,1605
softdev,31,398
bio,0,2386
ai,88,1392
orgo,64,204
geometry,77,924
ceramics,15,76
bio,0,784
softdev,66,2532
geometry,70,757
ethics,36,3053
ceramics,43,1625
ai,72,366
ceramics,27,41
bio,94,2208
greatbooks,70,1094
bio,9,2365
systems,53,2943
bio,11,2282
geometry,28,1982
greatbooks,62,2170
ai,74,1578
geometry,64,1529
orgo,3,2782
orgo,19,529
european cinema,100,1883
softdev,9,1977
geometry,44,348
softdev,31,521
systems,59,851
orgo,50,1206
ethics,34,3158
ai,75,994
geometry,23,3093
ceramics,28,1257
ceramics,2,722
softdev,47,1592
bio,11,2308
softdev,63,1153
bio,29,2849
geometry,1,777
ethics,5,3084
ethics,92,3112
ceramics,22,855
bio,65,2727
ai,89,839
european cinema,8,1161
ai,85,1619
european cinema,53,1466
ceramics,70,398
ethics,1,1186
bio,7,3003
ai,58,1404
softdev,37,1274
greatbooks,16,2945
bio,83,133
bio,8,1285
greatbooks,17,2063
orgo,59,3251
ethics,57,2068
softdev,73,1883
orgo,1,2285
european cinema,34,1697
european cinema,24,129
softdev,53,3177
softdev,74,1495
ceramics,10,225
systems,31,1754
greatbooks,99,366
orgo,11,2467
greatbooks,92,610
softdev,55,3287
softdev,77,2483
european cinema,43,1570
geometry,67,303
orgo,20,540
ai,14,608
systems,47,2851
geometry,9,2547
softdev,34,1978
softdev,67,1847
european cinema,8,149
european cinema,72,2803
european cinema,2,715
systems,12,2363
bio,47,1679
greatbooks,60,1454
ceramics,79,1785
bio,15,2668
bio,81,703
systems,48,2147
orgo,19,1470
orgo,33,822
ethics,63,2583
geometry,52,3018
greatbooks,44,1975
systems,20,2863
orgo,100,2269
systems,48,558
greatbooks,0,2319
ethics,40,3149
ethics,36,497
ai,47,1279
bio,92,478
orgo,7,2358
greatbooks,77,1651
greatbooks,100,3058
softdev,15,1981
orgo,71,3023
orgo,82,2768
softdev,20,2284
systems,61,3072
ai,42,381
bio,11,1328
ceramics,6,2998
geometry,66,2325
orgo,58,1369
greatbooks,91,2722
systems,4,901
ethics,71,2963
orgo,47,1613
ethics,59,2792
bio,90,3277
ethics,16,2501
european cinema,8,2324
ethics,7,2725
softdev,3,396
bio,54,2356
orgo,63,2704
systems,2,2683
bio,15,3260
ceramics,3,1592
softdev,30,2287
ceramics,3,1056
orgo,0,1572
european cinema,50,3107
softdev,52,654
systems,44,254
european cinema,15,1492
softdev,22,505
ceramics,99,2506
systems,84,3123
ai,52,3277
geometry,25,2880
systems,73,1986
orgo,4,2550
systems,23,2796
systems,55,2079
systems,51,1519
systems,42,1109
european cinema,64,2390
ai,4,2949
systems,43,857
geometry,53,2562
geometry,69,2301
bio,78,3218
ceramics,40,426
ceramics,14,2700
ceramics,44,216
orgo,77,2419
orgo,20,610
european cinema,5,424
ethics,47,3033
bio,70,2580
bio,100,747
orgo,78,2039
ai,60,3206
greatbooks,64,1960
systems,33,3197
softdev,90,2280
softdev,88,2073
systems,32,2653
ai,17,599
ethics,69,353
ai,61,1472
softdev,53,2933
greatbooks,64,1601
ai,4,504
orgo,56,1179
orgo,36,850
ai,40,176
softdev,93,3205
bio,66,1088
orgo,42,58
orgo,17,1593
geometry,75,1955
ethics,80,2788
ai,93,403
geometry,98,500
bio,17,1145
softdev,35,376
ai,29,1114
greatbooks,65,163
greatbooks,30,1571
greatbooks,26,2363
orgo,60,2504
geometry,97,2744
softdev,24,2233
geometry,18,2161
bio,81,2333
ceramics,63,1254
geometry,42,3009
ethics,98,2732
ceramics,70,2582
orgo,43,2052
systems,46,3020
systems,37,2242
geometry,14,914
systems,64,481
bio,47,10
ai,25,3278
geometry,50,1179
geometry,73,2302
greatbooks,59,2334
geometry,61,2574
european cinema,64,480
ethics,5,1737
bio,92,2466
ai,68,387
ceramics,36,2912
ai,44,2347
systems,11,3002
geometry,53,948
softdev,78,1774
ceramics,97,1019
ethics,25,720
softdev,75,3015
ai,45,2140
greatbooks,0,1924
softdev,19,316
softdev,74,3011
bio,96,1016
ethics,71,2538
orgo,59,530
orgo,40,2819
ai,9,1973
geometry,52,318
geometry,12,2401
greatbooks,33,1654
systems,84,2139
ai,4,3160
systems,88,2999
geometry,6,2621
bio,9,2570
ceramics,10,1501
european cinema,2,1841
orgo,8,1406
ai,93,1500
ethics,94,2261
systems,43,1018
bio,57,1753
ceramics,78,925
greatbooks,89,549
ethics,65,2790
systems,65,1679
ethics,87,1066
geometry,11,2857
systems,51,867
ceramics,81,570
systems,68,2319
softdev,27,1408
ethics,7,2949
ceramics,3,2910
softdev,70,3154
orgo,90,1205
greatbooks,12,3232
ceramics,4,2622
european cinema,8,381
european cinema,39,1236
european cinema,51,177
systems,7,873
systems,89,1541
european cinema,85,2513
orgo,17,1543
softdev,76,743
systems,44,401
greatbooks,80,710
orgo,89,217
european cinema,10,1628
greatbooks,84,2321
softdev,24,739
bio,19,2051
ethics,47,2901
bio,53,1502
european cinema,45,658
softdev,98,742
orgo,99,2361
softdev,72,1944
softdev,78,1344
orgo,55,1923
orgo,90,205
ethics,52,3161
greatbooks,3,1994
geometry,57,1279
orgo,58,2310
bio,26,183
systems,56,1150
orgo,67,1234
ai,3,1606
geometry,41,2494
greatbooks,67,2639
softdev,24,2604
orgo,70,2059
european cinema,42,2940
softdev,44,1711
systems,27,1629
orgo,43,2102
european cinema,38,1713
ethics,22,1225
european cinema,25,2939
ai,32,1807
ethics,48,3164
european cinema,30,2138
ceramics,72,1291
european cinema,84,645
ceramics,100,1630
greatbooks,38,105
orgo,50,2850
geometry,0,2030
ai,31,1599
bio,11,928
systems,54,2594
orgo,94,2255
geometry,78,2772
orgo,14,654
ai,58,1012
greatbooks,13,2194
ethics,33,2066
geometry,74,3287
greatbooks,33,2900
european cinema,79,1920
ceramics,89,1368
systems,97,2822
softdev,47,947
european cinema,78,2319
orgo,17,3203
greatbooks,53,2833
greatbooks,22,2127
european cinema,40,3073
european cinema,61,670
geometry,58,1653
greatbooks,24,2206
greatbooks,62,3026
ai,90,958
ceramics,61,2233
ceramics,44,1416
systems,100,2159
systems,62,1647
systems,70,1030
systems,54,2173
bio,85,2329
systems,24,865
ceramics,90,839
orgo,69,3126
bio,46,723
ai,24,3262
ethics,47,1117
greatbooks,60,1603
bio,17,477
bio,10,2739
european cinema,13,1903
greatbooks,16,1043
ethics,30,482
ai,56,740
ceramics,51,3125
geometry,16,3103
softdev,37,163
systems,59,3000
systems,27,30
ai,8,2384
bio,67,2461
softdev,75,2694
systems,32,2285
greatbooks,91,723
european cinema,100,3232
ceramics,90,2603
softdev,74,2883
ceramics,89,1846
greatbooks,50,1246
softdev,94,1286
softdev,85,1116
ai,69,1393
systems,22,2406
bio,49,7
ceramics,29,1403
ethics,9,1543
greatbooks,20,473
geometry,31,1952
softdev,19,1895
softdev,42,2509
greatbooks,52,72
european cinema,36,413
bio,14,1785
greatbooks,15,2056
orgo,59,2948
systems,36,2839
ethics,74,1704
bio,95,515
ethics,45,2546
greatbooks,93,2933
greatbooks,58,20
systems,35,2464
european cinema,98,996
orgo,95,2670
greatbooks,43,158
softdev,55,2647
ai,58,206
bio,6,791
ethics,69,1329
european cinema,75,2285
ai,44,1565
greatbooks,83,3127
bio,57,560
ceramics,86,2645
systems,54,2278
ai,48,2955
softdev,55,1986
european cinema,33,2064
greatbooks,51,1822
softdev,94,526
softdev,5,804
orgo,63,2632
bio,84,2770
ai,15,3293
ethics,50,192
orgo,57,2629
softdev,10,2859
orgo,66,77
orgo,39,88
softdev,32,733
ethics,14,1566
softdev,87,2392
ai,19,2866
softdev,77,1251
european cinema,94,1548
bio,19,565
softdev,88,2717
softdev,24,789
ceramics,58,2271
orgo,98,2338
geometry,51,819
european cinema,58,394
ethics,6,947
systems,68,2697
geometry,31,2181
ethics,71,1585
ai,67,158
ai,74,192
orgo,71,1885
systems,63,2700
softdev,64,546
ai,32,1993
greatbooks,89,3150
systems,95,2678
systems,55,1866
orgo,60,2738
bio,92,2262
softdev,78,7
ceramics,95,3008
european cinema,77,1752
softdev,31,268
european cinema,1,1476
systems,15,1156
ceramics,16,186
orgo,81,3161
systems,50,3293
geometry,54,1462
geometry,84,2132
systems,94,2519
orgo,92,1103
systems,40,727
european cinema,34,1451
softdev,89,162
european cinema,52,169
european cinema,5,3228
ethics,49,1047
geometry,48,2550
orgo,98,434
ai,33,2209
ceramics,60,1418
ai,80,491
greatbooks,18,1362
european cinema,81,1485
ethics,100,2611
systems,2,3034
greatbooks,74,981
bio,43,174
greatbooks,29,2807
geometry,8,1398
geometry,8,1703
european cinema,70,1
systems,17,878
greatbooks,30,2732
geometry,22,1411
greatbooks,47,2347
orgo,20,1503
orgo,31,1772
systems,90,2926
softdev,36,2006
ceramics,8,2309
orgo,60,1881
geometry,31,373
bio,3,396
ethics,98,1822
european cinema,84,3235
ethics,11,2925
ceramics,52,1201
bio,66,2826
geometry,42,1961
bio,52,1283
european cinema,42,399
orgo,54,327
geometry,0,1930
softdev,18,842
ethics,84,1369
ai,50,274
geometry,4,1030
ai,53,834
european cinema,57,2445
european cinema,11,2480
systems,98,289
greatbooks,69,2464
softdev,85,461
systems,79,2282
geometry,28,1451
ceramics,19,2656
ethics,36,3121
european cinema,66,956
ceramics,26,685
greatbooks,38,1518
ethics,41,2085
geometry,0,3175
greatbooks,97,197
greatbooks,9,2953
ethics,57,3237
ethics,80,62
softdev,80,1543
greatbooks,93,887
softdev,47,2122
systems,99,2829
greatbooks,19,1582
ethics,36,3058
ceramics,33,1215
greatbooks,24,2994
european cinema,19,1003
ai,99,1498
systems,17,759
european cinema,85,1045
ethics,69,524
orgo,81,2836
orgo,45,2668
ceramics,86,2090
ceramics,77,2000
ceramics,72,601
geometry,38,15
bio,15,1789
softdev,95,2408
greatbooks,29,1504
greatbooks,59,2882
softdev,67,2321
ethics,72,636
ethics,85,1214
systems,59,2393
ai,65,1001
softdev,43,200
ethics,1,316
greatbooks,24,1509
european cinema,20,1362
european cinema,15,2097
ai,69,908
bio,8,2332
ethics,4,1547
ethics,42,2740
orgo,82,2534
orgo,44,1348
ceramics,27,1364
softdev,86,5
ethics,10,986
ethics,77,2307
bio,94,799
bio,26,466
european cinema,19,901
bio,0,1286
systems,68,2592
softdev,98,169
softdev,30,71
geometry,64,1943
systems,95,2745
geometry,46,265
systems,39,1768
european cinema,13,2246
bio,48,2475
softdev,69,500
systems,83,2415
european cinema,50,420
greatbooks,11,2005
bio,57,315
bio,12,1209
ethics,9,1903
greatbooks,90,2048
softdev,11,457
bio,2,225
orgo,52,3177
european cinema,3,1261
softdev,24,1105
ethics,28,204
ethics,15,556
systems,76,2801
geometry,50,1258
softdev,54,2365
orgo,16,1281
systems,43,1066
european cinema,24,550
bio,77,1540
ai,15,1107
geometry,80,2653
